name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude,runtime
St John's Music Hall,,www.musichalls.org/posts/st-johns-music-hall,,,,,High Rd,Leytonstone,,539465.4059100971,187459.99889249355,0.012513692760157248,51.56826559167155,11/20/2022
EartH,,https://earthackney.co.uk/,,,,,11-17 Stoke Newington Rd,,,533550.4283712953,185305.88460149616,-0.07360592378311397,51.55033810861695,11/20/2022
Jamboree,,www.jamboreevenue.co.uk,,,,,27 Three Colt St,,,536822.4991706982,181036.97006569803,-0.028096618214044227,51.51118874348936,11/20/2022
Oslo Hackney,,www.oslohackney.com,,,,,1A Amhurst Rd,,,534784.3976081982,185023.8788675964,-0.05592561336907377,51.547510178925734,11/20/2022
Pickle Factory,,www.ovalspace.co.uk,,,,,13-14 The Oval,,,534706.5636017993,183306.8844048977,-0.05770479413358204,51.53209767090289,11/20/2022
Paper Dress Vintage,,www.paperdressvintage.co.uk,,,,,352 Mare Street,,,534976.7079809979,184958.66534599662,-0.05317855309188124,51.54687811387985,11/20/2022
Slim Jim's Liquor Store,Islington,www.slimjimsliquorstore.com,,,,,112 Upper St,,,531669.1093750969,183826.10937449336,-0.10128058967253106,51.53748087983675,11/20/2022
The Sound Lounge,,www.thesoundlounge.org.uk,,,,,216-220 High Street,,,525803.8969182,164601.3355139941,-0.1926506700931572,51.36602486975543,11/20/2022
Under the Bridge,,www.underthebridge.co.uk,,,,,Fulham Road,,,525781.5875054002,177448.3124928996,-0.18840977026257302,51.48150019293787,11/20/2022
Leytonstone Ex-Servicemens Club,Waltham Forest,www.leytonstonesocial.club,100000000000,E09000031,Leytonstone,E05000605,2 Harvey Road,Waltham Forest,,539521.000122197,187306.00012149662,0.013254243839670863,51.56686787287454,11/20/2022
Thousand Island,Islington,www.thegarage.london/listings/#=.thousand-island,0,E09000019,Highbury East,E05000372,20-22 Highbury Corner Highbury East,,,531565.000122197,184798.00012159348,-0.10241761004299621,51.546240033794874,11/20/2022
The Fighting Cocks,Kingston Upon Thames,www.the-fighting-cocks.co.uk,100000000000,E09000021,Grove,E05000408,56 Old London Road,Kingston Upon Thames,,518455.0001221001,169335.00012169778,-0.2965966949404561,51.41015503216918,11/20/2022
